Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,B365CH,B365CD,B365CA,HS,AS,HST,AST,PSH,PSD,PSA,HC,AC
2022-09-13,Blackburn,Watford,2,0,2.9,3.25,2.5,2.62,3.25,2.75,15,6,6,2,3.07,3.28,2.52,9,5
2022-09-13,Huddersfield,Wigan,1,2,2.62,3.25,2.75,2.5,3.25,2.9,18,12,6,5,2.71,3.24,2.86,4,5
2022-09-13,Hull,Stoke,0,3,2.75,3.25,2.62,2.8,3.3,2.55,15,20,4,7,2.85,3.28,2.69,7,6
2022-09-13,Middlesbrough,Cardiff,2,3,1.7,3.6,5.25,1.7,3.6,5.25,10,6,2,4,1.74,3.64,5.58,9,3
2022-09-13,Swansea,Sheffield United,0,1,3.4,3.4,2.15,3.25,3.4,2.25,12,12,2,3,3.42,3.48,2.23,6,4
2022-09-13,Preston,Burnley,1,1,3.0,3.25,2.4,2.9,3.3,2.4,6,12,3,4,3.28,3.22,2.43,4,6
2022-09-14,Luton,Coventry,2,2,2.1,3.4,3.5,2.2,3.4,3.3,11,12,4,4,2.14,3.37,3.79,7,3
2022-09-14,Millwall,QPR,0,2,2.25,3.25,3.3,2.25,3.25,3.3,12,13,3,4,2.38,3.23,3.35,5,4
2022-09-14,Norwich,Bristol City,3,2,1.65,4.0,5.25,1.61,4.2,5.25,11,11,6,4,1.69,4.06,5.19,2,7
2022-09-14,Rotherham,Blackpool,3,0,2.3,3.2,3.25,2.37,3.2,3.25,11,6,4,1,2.32,3.32,3.38,5,4
2022-09-14,Reading,Sunderland,0,3,2.6,3.25,2.75,2.37,3.2,3.1,6,13,2,6,2.76,3.26,2.79,3,7
2022-09-14,West Brom,Birmingham,2,3,1.44,4.33,8.0,1.44,4.5,7.0,18,7,5,3,1.45,4.61,8.06,6,2
2022-09-17,Swansea,Hull,3,0,1.8,3.6,4.75,1.95,3.4,4.2,17,6,5,1,1.82,3.82,4.58,5,3
2022-09-17,Birmingham,Coventry,0,0,2.87,3.25,2.55,3.0,3.3,2.4,12,13,4,3,2.94,3.34,2.57,6,4
2022-09-17,Burnley,Bristol City,2,1,1.66,3.8,5.25,1.75,3.75,4.5,13,9,6,5,1.67,4.18,5.22,8,5
2022-09-17,Huddersfield,Cardiff,1,0,2.7,3.1,2.8,2.87,3.1,2.62,8,7,4,2,2.69,3.32,2.82,1,3
2022-09-17,Luton,Blackburn,2,0,2.3,3.25,3.3,2.3,3.2,3.3,13,7,4,1,2.29,3.26,3.53,4,3
2022-09-17,Millwall,Blackpool,2,1,2.0,3.4,4.0,1.9,3.4,4.5,16,8,6,2,2.0,3.47,4.15,5,2
2022-09-17,Norwich,West Brom,1,1,2.15,3.5,3.3,2.25,3.5,3.1,11,11,3,2,2.16,3.6,3.48,7,4
2022-09-17,Preston,Sheffield United,0,2,3.2,3.3,2.3,2.9,3.1,2.55,18,15,3,6,3.3,3.29,2.38,7,5
2022-09-17,QPR,Stoke,0,0,2.4,3.3,3.0,2.3,3.3,3.2,20,8,5,1,2.39,3.43,3.15,8,6
2022-09-17,Watford,Sunderland,2,2,2.0,3.5,3.75,2.0,3.5,3.75,13,12,4,5,2.03,3.55,3.93,8,3
2022-09-17,Wigan,Reading,0,1,2.05,3.4,3.8,2.1,3.4,3.75,10,7,0,2,2.07,3.38,4.02,1,3
2022-09-17,Middlesbrough,Rotherham,0,0,1.61,4.0,5.75,1.61,4.0,5.5,13,3,3,0,1.64,4.08,5.65,8,3
2022-09-30,Hull,Luton,0,2,3.2,3.25,2.3,3.0,3.25,2.37,11,10,0,5,3.29,3.32,2.37,7,6
2022-10-01,Blackburn,Millwall,2,1,2.3,3.25,3.3,2.2,3.25,3.6,10,10,4,2,2.29,3.26,3.52,4,4
2022-10-01,Blackpool,Norwich,0,1,4.2,3.6,1.85,4.0,3.6,1.9,17,22,6,8,4.14,3.73,1.93,9,6
2022-10-01,Bristol City,QPR,1,2,2.3,3.4,3.25,2.2,3.4,3.3,12,15,2,6,2.32,3.47,3.25,8,2
2022-10-01,Cardiff,Burnley,1,1,3.0,3.25,2.45,3.1,3.25,2.37,12,8,4,2,3.14,3.34,2.44,9,1
2022-10-01,Coventry,Middlesbrough,1,0,2.9,3.3,2.45,3.1,3.2,2.37,11,6,4,3,3.05,3.43,2.45,3,6
2022-10-01,Reading,Huddersfield,3,1,2.15,3.25,3.6,2.4,3.1,3.3,11,10,3,3,2.18,3.42,3.61,5,1
2022-10-01,Rotherham,Wigan,0,2,2.25,3.3,3.2,2.3,3.2,3.2,12,14,3,5,2.37,3.32,3.28,8,4
2022-10-01,Sheffield United,Birmingham,1,1,1.44,4.75,7.0,1.53,4.33,5.75,13,8,3,2,1.45,4.68,7.89,4,4
2022-10-01,Sunderland,Preston,0,0,2.3,3.2,3.3,2.25,3.1,3.6,16,8,2,5,2.37,3.33,3.27,4,8
2022-10-01,West Brom,Swansea,2,3,1.72,3.75,4.75,1.66,3.8,5.25,13,7,5,4,1.74,3.95,4.96,8,6
2022-10-02,Stoke,Watford,0,4,2.5,3.25,2.9,2.7,3.2,2.75,15,16,2,9,2.54,3.34,2.99,6,6
2022-10-04,Bristol City,Coventry,0,0,2.0,3.5,3.8,2.2,3.5,3.25,9,10,3,3,2.08,3.71,3.6,9,2
2022-10-04,Luton,Huddersfield,3,3,1.75,3.4,5.25,1.65,3.6,6.0,24,3,10,3,1.78,3.55,5.4,9,5
2022-10-04,Sheffield United,QPR,0,1,1.7,3.6,5.25,1.65,3.75,5.5,21,10,5,3,1.73,3.86,5.15,9,3
2022-10-04,Sunderland,Blackpool,0,0,1.9,3.5,4.0,1.83,3.6,4.2,15,13,4,4,1.93,3.62,4.24,5,12
